ml_idx,mr_idx
1,1427
4,1132
6,1853
7,283
8,427
11,1421
12,795
14,473
16,2662
17,1458
21,1394
22,991
23,1956
24,196
25,2748
26,312
27,1179
29,2225
30,449
32,1614
33,1884
35,1877
38,2320
39,2520
42,2965
45,1772
46,2557
47,1376
48,541
49,1718
52,262
54,876
55,739
56,159
59,483
60,2249
61,1645
65,802
67,2948
72,2412
73,93
74,1627
75,544
76,1524
77,1886
78,2631
80,1379
81,684
82,2699
83,1839
84,1904
86,1609
87,843
88,816
90,1750
91,1887
92,1682
93,518
94,152
95,1084
97,3000
98,1021
99,796
101,354
104,385
105,433
107,1064
109,1505
110,2877
111,362
112,156
113,1982
114,2780
115,1907
117,1100
119,1801
121,2960
124,946
125,2619
129,484
130,28
134,701
135,102
136,2495
138,932
139,2373
141,1273
144,1617
145,1004
146,2184
147,2472
148,1504
149,699
151,1483
152,1882
154,1567
155,1681
157,1613
160,2736
162,1417
163,328
164,1931
168,1961
171,1154
172,454
173,2290
175,880
177,293
179,1307
181,2900
182,2125
183,1083
184,1098
186,973
187,1358
189,153
191,3010
194,2879
195,2886
196,386
197,2703
198,217
199,872
200,1108
201,849
202,1093
203,2256
204,2424
205,3031
206,1395
209,2894
214,43
215,225
216,2129
217,2694
218,2250
223,85
224,894
225,2456
228,2529
229,783
230,1228
236,1463
237,271
238,461
239,2895
240,1650
242,1972
245,143
248,2840
250,1733
251,904
252,2219
254,84
259,2116
264,2134
265,2242
267,145
269,2545
270,1349
271,2025
272,925
273,91
278,2606
279,2480
280,1580
283,2630
286,1194
287,287
289,1564
290,411
291,1398
292,2198
294,2
295,987
298,2587
300,2390
303,202
305,748
306,2672
307,394
309,205
311,1407
313,1043
315,693
316,3022
317,2992
318,668
319,1217
321,2907
322,1818
324,599
326,1819
329,2997
330,1490
333,2770
335,1977
337,2975
338,172
343,212
345,1361
348,1071
349,844
350,2468
352,1969
353,851
357,711
358,2865
359,1005
361,237
362,767
364,1067
366,614
370,131
371,481
372,1775
373,1851
375,2082
380,1878
381,929
382,1299
383,648
387,1381
388,1521
391,912
397,2615
398,1292
401,2490
402,2547
403,2370
404,1155
405,1527
409,2602
413,2985
414,1136
415,1541
419,1909
420,136
421,683
423,1791
424,2862
427,1452
429,438
431,1355
432,1804
