genre_idx,name
0,Fantasy Film
1,Action Film
2,Adventure Film
3,Space Opera
4,Science Fiction Film
5,Drama Film
6,Thriller Film
7,Gangster Film
8,Film Based On Literature
9,Science Fiction Action Film
10,War Film
11,Biographical Film
12,Buddy Film
13,Horror Film
14,Psychological Thriller
15,Psychological Horror
16,Crime Film
17,LGBT-Related Film
18,Prison Film
19,Cyberpunk
20,Post-Apocalyptic Film
21,Action Thriller
22,Dystopian Film
23,Comedy Film
24,Tragicomedy
25,Romantic Comedy
26,Coming-Of-Age Story
27,Historical Period Drama
28,Flashback Film
29,Thriller
30,Drama
31,Treasure Hunt Film
32,Comedy-Drama
33,Detective Fiction
34,Heist Film
35,Mystery Film
36,Neo-Noir
37,Teen Film
38,Speculative Fiction Film
39,Black Comedy Film
40,Disaster Film
41,Alien Invasion
42,Buddy Cop
43,Docudrama
44,Survival Film
45,Historical Film
46,Superhero Film
47,Peplum Film Genre
48,Spy Film
49,Musical Film
50,Traditionally Animated Film
51,Western Film
52,Crime Thriller
53,Children's Film
54,Melodrama
55,Romance Film
56,Monster Film
57,Dystopia
58,Film Noir
59,Swashbuckler Film
60,Action Comedy Film
61,Costume Drama
62,Parody Film
63,Knight Film
64,Christmas Film
65,Screwball Comedy Film
66,Samurai Cinema
67,Martial Arts Film
68,Girls With Guns
69,Vigilante Film
70,Rape And Revenge Film
71,Animated Film
72,Comedy Of Remarriage
73,Comedy Horror
74,Family Film
75,Political Thriller
76,Ghost Film
77,Epic Film
78,Vampire Film
79,Fictional Crossover
80,Satirical Film
81,Comic Science Fiction
82,Techno-Thriller
83,Political Drama
84,Science Fiction
85,Military Science Fiction
86,Live-Action/Animated Film
87,Erotic Film
88,Slasher Film
89,Submarine Film
90,Legal Drama
91,Fantasy Anime And Manga
92,Slapstick
93,Trial Film
94,Crime-Comedy Film
95,Hood Film
96,Fiction Film
97,Female Buddy Film
98,Road Movie
99,Spaghetti Western
100,Mockumentary
101,Sports Film
102,Erotic Thriller
103,Zombie Film
104,Fantasy
105,Gothic Horror Film
106,Comedy Thriller
107,Film Adaptation
108,Sex Comedy
109,Documentary Film
110,Dance Film
111,Anime Film
112,Steampunk Film
113,Post-Apocalyptic Fiction
114,Zombie Comedy
115,Space Western
116,Alternate History Film
117,Computer-Animated Film
118,Political Cinema
119,Anime
120,Drama Anime And Manga
121,Splatter Film
122,Sexploitation Film
123,Art Film
124,Kaiju
125,Western
126,Cannibal Film
127,Silent Film
128,Cinematic Fairy Tale
129,Mecha
130,Adventure Anime And Manga
131,Exploitation Film
132,Nature Documentary
133,Kung Fu Film
134,Science Fiction Comic
135,Television Drama
136,Live Action
137,Speculative Fiction
138,Time Travel
139,Independent Film
