idx,title,genres
0,Titanic (1997),5|28|40|54|55
1,Silent Hill (2006),0|13|15|56
2,Stargate (1994),1|2|4|38
3,Deadpool (2016),1|4|23|46
4,Shaun of the Dead (2004),12|13|23|25|62
5,Doctor Strange (2016),0|1|2|4|46
6,28 Days Later (2002),13|20|22|103
7,Inception (2010),2|4|5|6|9|34|35
8,The Italian Job (1969),16|23|34
9,Austin Powers in Goldmember (2002),48|62
10,Why Him? (2016),23|64
11,Ted 2 (2015),0|23
12,The Jungle Book (2016),0|1|2|5|8|136
13,Ratatouille (2007),12|26|28
14,The Avengers (2012),1|2|4|38|46|79
15,Cars (2006),12|23|28
16,The Maze Runner (2014),0|1|6|8|20|22|35
17,The Hunger Games (2012),0|1|2|4|5|8|14|20|22|30|57
18,Transformers: Age of Extinction (2014),1|4
19,Transformers (2007),1|4|41
20,G.I. Joe: The Rise of Cobra (2009),1|4
21,Transformers: Revenge of the Fallen (2009),1|4
22,Seed of Chucky (2004),17|23|62|73|88|121
23,Scott Pilgrim vs. the World (2010),0|1|17|23|25|60
24,The 40-Year-Old Virgin (2005),12|25|108
25,Harry Potter and the Sorcerer's Stone (2001),0|2|8|38|53
26,Harry Potter and the Prisoner of Azkaban (2004),0|8|53
27,The Ring Two (2005),13|15
28,Father of the Bride Part II (1995),23
29,Harry Potter and the Half-Blood Prince (2009),0|8
30,Seven Pounds (2008),0|5|55
31,I Now Pronounce You Chuck and Larry (2007),12|17|25
32,A Nightmare on Elm Street 4: The Dream Master (1988),13|37|88
33,Harry Potter and the Order of the Phoenix (2007),0|8|53
34,The Machinist (2004),5|14
35,Memento (2000),5|6|13|16|28|35|36
36,Juno (2007),5|23|25|26|37|55
37,Non-Stop (2014),1|35|40
38,The Interview (2014),1|12|62
39,Flight (2012),5
40,American Pie Presents: Band Camp (2005),23|25|37
41,Shutter Island (2010),5|6|8|13|16|35
42,The Terminal (2004),5|25
43,Pulp Fiction (1994),5|6|7|139
44,Iron Man 3 (2013),1|2|4|46
45,Gran Torino (2008),5|16
46,The Hangover (2009),23
47,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0|1|2|23|31|59
48,Carrie (1976),5|6|8|13|14|26|37
49,The Simpsons Movie (2007),23
50,Ice Age 2: The Meltdown (2006),0|28|53
51,We're the Millers (2013),16|23
52,Irreversible (2002),5|16|17|70
53,Fahrenheit 9/11 (2004),109
54,12 Years a Slave (2013),5|8|11
55,Knocked Up (2007),5|25|32
56,Surrogates (2009),1|4|14|22|35
57,Pineapple Express (2008),1|12|16|23
58,Inglourious Basterds (2009),5|10
59,Forgetting Sarah Marshall (2008),25|32
60,Iron Man 2 (2010),1|2|4|46
61,American Pie Presents: The Book of Love (2009),25|37
62,Bowling for Columbine (2002),109
63,Dumb and Dumberer: When Harry Met Lloyd (2003),12|65
64,The King's Speech (2010),5|11|12
65,Terminator 3: Rise of the Machines (2003),1|4|22
