old_idx,new_idx
242,0
302,1
377,2
51,3
346,4
474,5
265,6
465,7
451,8
86,9
257,10
1014,11
222,12
40,13
29,14
785,15
387,16
274,17
1042,18
1184,19
392,20
486,21
144,22
118,23
1,24
546,25
95,26
768,27
277,28
234,29
98,30
193,31
88,32
194,33
1081,34
603,35
796,36
32,37
16,38
304,39
979,40
564,41
327,42
201,43
1137,44
241,45
4,46
332,47
100,48
432,49
322,50
181,51
196,52
679,53
384,54
143,55
423,56
515,57
20,58
288,59
219,60
526,61
919,62
26,63
232,64
427,65
512,66
15,67
1049,68
416,69
165,70
690,71
248,72
1444,73
5,74
229,75
237,76
480,77
54,78
366,79
518,80
403,81
111,82
625,83
338,84
25,85
1016,86
154,87
275,88
1153,89
498,90
382,91
209,92
23,93
294,94
208,95
685,96
328,97
496,98
132,99
174,100
96,101
151,102
307,103
648,104
21,105
832,106
514,107
789,108
485,109
317,110
195,111
200,112
385,113
750,114
264,115
245,116
135,117
1147,118
471,119
658,120
140,121
379,122
815,123
479,124
368,125
1211,126
1134,127
836,128
272,129
756,130
787,131
14,132
955,133
419,134
405,135
504,136
466,137
117,138
273,139
559,140
794,141
323,142
177,143
231,144
2,145
137,146
1336,147
164,148
281,149
1240,150
298,151
443,152
1035,153
79,154
258,155
455,156
755,157
673,158
172,159
1217,160
719,161
1267,162
930,163
216,164
1079,165
452,166
61,167
48,168
360,169
77,170
476,171
483,172
748,173
220,174
255,175
280,176
202,177
408,178
235,179
228,180
1098,181
347,182
178,183
478,184
688,185
10,186
127,187
106,188
69,189
944,190
790,191
1091,192
214,193
1028,194
554,195
109,196
171,197
318,198
568,199
842,200
65,201
591,202
401,203
339,204
746,205
68,206
7,207
1018,208
218,209
623,210
334,211
344,212
145,213
56,214
89,215
141,216
576,217
133,218
153,219
813,220
872,221
146,222
507,223
367,224
468,225
595,226
11,227
520,228
82,229
501,230
3,231
695,232
198,233
189,234
767,235
705,236
64,237
357,238
484,239
508,240
297,241
215,242
749,243
829,244
204,245
1295,246
33,247
160,248
321,249
343,250
227,251
191,252
903,253
183,254
724,255
430,256
1197,257
134,258
751,259
212,260
256,261
662,262
984,263
1067,264
410,265
879,266
271,267
1086,268
649,269
951,270
197,271
678,272
199,273
709,274
169,275
597,276
1393,277
333,278
1115,279
577,280
378,281
425,282
959,283
1224,284
1017,285
175,286
286,287
558,288
66,289
206,290
402,291
640,292
522,293
62,294
12,295
291,296
462,297
612,298
758,299
845,300
163,301
1451,302
250,303
823,304
186,305
731,306
71,307
781,308
176,309
1181,310
78,311
436,312
631,313
716,314
188,315
699,316
604,317
97,318
173,319
460,320
715,321
17,322
315,323
505,324
279,325
80,326
238,327
60,328
325,329
407,330
531,331
587,332
892,333
1047,334
47,335
217,336
259,337
596,338
960,339
211,340
938,341
1060,342
404,343
305,344
210,345
278,346
770,347
252,348
156,349
1110,350
350,351
431,352
475,353
182,354
50,355
365,356
187,357
289,358
185,359
712,360
94,361
742,362
762,363
732,364
168,365
550,366
849,367
406,368
150,369
869,370
184,371
371,372
720,373
873,374
381,375
922,376
57,377
306,378
370,379
249,380
721,381
611,382
142,383
943,384
126,385
824,386
8,387
58,388
741,389
1061,390
448,391
900,392
941,393
905,394
1497,395
55,396
744,397
642,398
1015,399
121,400
301,401
81,402
284,403
740,404
22,405
864,406
1099,407
961,408
812,409
240,410
376,411
931,412
717,413
399,414
1039,415
1114,416
292,417
561,418
901,419
70,420
417,421
809,422
540,423
293,424
497,425
1462,426
246,427
1246,428
655,429
13,430
588,431
409,432
739,433
661,434
665,435
692,436
439,437
632,438
1198,439
609,440
225,441
128,442
866,443
295,444
49,445
626,446
707,447
586,448
593,449
147,450
1220,451
492,452
620,453
161,454
1070,455
449,456
948,457
509,458
870,459
39,460
1100,461
820,462
660,463
1022,464
120,465
780,466
44,467
686,468
28,469
729,470
52,471
230,472
506,473
566,474
774,475
433,476
99,477
1288,478
190,479
1010,480
877,481
487,482
1052,483
287,484
659,485
927,486
696,487
269,488
179,489
440,490
806,491
572,492
654,493
324,494
736,495
92,496
461,497
129,498
9,499
152,500
233,501
589,502
203,503
1034,504
923,505
463,506
122,507
310,508
285,509
447,510
412,511
1428,512
977,513
1065,514
421,515
937,516
583,517
110,518
251,519
831,520
543,521
926,522
155,523
53,524
393,525
91,526
477,527
472,528
761,529
1286,530
93,531
644,532
982,533
491,534
511,535
397,536
162,537
513,538
375,539
38,540
418,541
858,542
131,543
87,544
725,545
72,546
663,547
1133,548
125,549
1248,550
354,551
105,552
73,553
239,554
860,555
1046,556
1178,557
523,558
634,559
1245,560
974,561
619,562
107,563
213,564
319,565
963,566
875,567
180,568
1033,569
380,570
59,571
1078,572
585,573
148,574
683,575
454,576
737,577
524,578
995,579
616,580
945,581
299,582
792,583
708,584
950,585
27,586
747,587
85,588
516,589
1063,590
682,591
221,592
1150,593
847,594
138,595
517,596
283,597
602,598
573,599
617,600
569,601
1332,602
703,603
386,604
331,605
355,606
949,607
488,608
114,609
24,610
763,611
43,612
953,613
510,614
372,615
335,616
779,617
435,618
223,619
1334,620
835,621
1327,622
263,623
450,624
651,625
316,626
929,627
580,628
1041,629
424,630
429,631
868,632
1161,633
166,634
1162,635
1019,636
908,637
1160,638
676,639
1012,640
1209,641
693,642
282,643
253,644
428,645
1350,646
363,647
300,648
1346,649
1119,650
674,651
411,652
527,653
1397,654
807,655
657,656
1142,657
113,658
426,659
1109,660
116,661
898,662
723,663
243,664
582,665
778,666
308,667
1007,668
641,669
1165,670
764,671
1011,672
1101,673
396,674
1260,675
904,676
312,677
1048,678
627,679
571,680
552,681
1278,682
499,683
1186,684
1057,685
207,686
309,687
671,688
83,689
482,690
276,691
1094,692
647,693
578,694
1021,695
886,696
1151,697
855,698
942,699
826,700
1044,701
254,702
290,703
848,704
542,705
581,706
1229,707
718,708
337,709
1107,710
539,711
821,712
364,713
553,714
313,715
1218,716
115,717
1129,718
493,719
36,720
205,721
102,722
1249,723
773,724
494,725
192,726
687,727
772,728
921,729
42,730
469,731
874,732
1216,733
1139,734
547,735
157,736
1208,737
1157,738
808,739
906,740
535,741
470,742
714,743
939,744
738,745
525,746
340,747
1037,748
530,749
528,750
754,751
1436,752
771,753
226,754
1383,755
745,756
1316,757
846,758
605,759
575,760
1284,761
1298,762
529,763
743,764
840,765
244,766
760,767
1006,768
1228,769
1095,770
34,771
103,772
441,773
90,774
1005,775
863,776
473,777
1281,778
356,779
630,780
793,781
766,782
1206,783
1342,784
980,785
1263,786
1376,787
1182,788
457,789
710,790
615,791
101,792
697,793
1199,794
395,795
983,796
684,797
971,798
1116,799
267,800
556,801
853,802
311,803
1073,804
975,805
361,806
643,807
704,808
997,809
260,810
990,811
969,812
167,813
650,814
320,815
63,816
965,817
652,818
1059,819
882,820
1164,821
1207,822
786,823
614,824
810,825
1222,826
139,827
769,828
765,829
67,830
624,831
1001,832
797,833
883,834
752,835
1315,836
560,837
345,838
1194,839
464,840
1348,841
932,842
1179,843
536,844
369,845
1250,846
880,847
629,848
775,849
1289,850
544,851
170,852
1518,853
413,854
618,855
326,856
123,857
628,858
262,859
31,860
1180,861
414,862
490,863
839,864
453,865
149,866
1320,867
827,868
124,869
570,870
843,871
844,872
420,873
590,874
1230,875
1324,876
895,877
1149,878
567,879
606,880
816,881
672,882
584,883
521,884
728,885
689,886
329,887
859,888
456,889
791,890
159,891
489,892
1266,893
1416,894
988,895
636,896
1411,897
533,898
1394,899
819,900
495,901
1093,902
1492,903
30,904
314,905
958,906
841,907
838,908
702,909
1020,910
947,911
1000,912
104,913
1322,914
622,915
481,916
532,917
915,918
502,919
1291,920
330,921
802,922
37,923
1025,924
1364,925
266,926
727,927
828,928
548,929
1132,930
993,931
136,932
996,933
562,934
653,935
74,936
1493,937
45,938
867,939
158,940
1183,941
1118,942
610,943
887,944
1299,945
918,946
41,947
1066,948
336,949
1117,950
1169,951
1262,952
270,953
1053,954
1464,955
374,956
621,957
607,958
1030,959
777,960
700,961
925,962
928,963
394,964
549,965
999,966
1471,967
341,968
1009,969
391,970
467,971
811,972
805,973
519,974
1036,975
84,976
894,977
574,978
1113,979
1306,980
638,981
1314,982
1131,983
1069,984
1084,985
1407,986
878,987
1242,988
359,989
579,990
884,991
691,992
954,993
261,994
1112,995
